"PARENT_SAMPLE_NAME","Gender","CLIENT_IDENTIFIER","NEG","POLAR","POS.EARLY","POS.LATE","BOX_NUMBER","CLIENT_MATRIX","CLIENT_SAMPLE_ID","CLIENT_SAMPLE_NUMBER","GROUP_ID","GROUP_NAME","SAMPLE_AMOUNT","SAMPLE_AMOUNT_UNITS","SAMPLE_BOX_LOCATION","SAMPLE_DESCRIPTION","TIME1","TIME_POINT","VOL_EXTRACTED","Sex","Blood.Volume"
"UNAZ-02793","Female","FS28908721",247376,247384,247380,247372,"FE00535389","EDTA Plasma",1,1,"1902_PreSymp","1902",150,"uL","A1","Mouse Plasma","PreSymp",1,100,NA,0.5
"UNAZ-02794","Male","FS28908761",247376,247384,247380,247372,"FE00535389","EDTA Plasma",19,4,"1902_PreSymp","1902",150,"uL","A6","Mouse Plasma","PreSymp",1,100,NA,0.9
"UNAZ-02795","Male","FS28908786",247376,247384,247380,247372,"FE00535389","EDTA Plasma",79,7,"1902_PreSymp","1902",150,"uL","B12","Mouse Plasma","PreSymp",1,100,NA,650
"UNAZ-02796","Female","FS28908779",247376,247384,247380,247372,"FE00535389","EDTA Plasma",57,10,"1902_Onset","1902",150,"uL","C11","Mouse Plasma","Onset",2,100,NA,0.6
"UNAZ-02797","Female","FS28908724",247376,247384,247380,247372,"FE00535389","EDTA Plasma",64,13,"1902_Onset","1902",150,"uL","D5","Mouse Plasma","Onset",2,100,NA,0.65
"UNAZ-02798","Male","FS28908812",247376,247384,247380,247372,"FE00535389","EDTA Plasma",78,16,"1902_Onset","1902",150,"uL","E3","Mouse Plasma","Onset",2,100,NA,0.9
"UNAZ-02799","Male","FS28908765",247376,247384,247380,247372,"FE00535389","EDTA Plasma",86,19,"1902_Onset","1902",150,"uL","E9","Mouse Plasma","Onset",2,100,NA,0.8
"UNAZ-02800","Male","FS28908797",247376,247384,247380,247372,"FE00535389","EDTA Plasma",18,22,"1902_End","1902",150,"uL","F1","Mouse Plasma","End",3,100,NA,0.5
"UNAZ-02801","Female","FS28908806",247376,247384,247380,247372,"FE00535389","EDTA Plasma",7,25,"1902_End","1902",150,"uL","G2","Mouse Plasma","End",3,100,NA,0.6
"UNAZ-02802","Male","FS28908751",247376,247384,247380,247372,"FE00535389","EDTA Plasma",16,28,"1902_End","1902",150,"uL","G7","Mouse Plasma","End",3,100,NA,0.9
"UNAZ-02803","Female","FS28908745",247376,247384,247380,247372,"FE00535389","EDTA Plasma",10,31,"Ctl_PreSymp","Control",150,"uL","A4","Mouse Plasma","PreSymp",1,100,NA,0.6
"UNAZ-02804","Male","FS28908785",247376,247384,247380,247372,"FE00535389","EDTA Plasma",30,34,"Ctl_PreSymp","Control",150,"uL","A9","Mouse Plasma","PreSymp",1,100,NA,0.8
"UNAZ-02805","Female","FS28908778",247376,247384,247380,247372,"FE00535389","EDTA Plasma",70,37,"Ctl_PreSymp","Control",150,"uL","B11","Mouse Plasma","PreSymp",1,100,NA,700
"UNAZ-02806","Female","FS28908771",247376,247384,247380,247372,"FE00535389","EDTA Plasma",56,40,"Ctl_Onset","Control",150,"uL","C10","Mouse Plasma","Onset",2,100,NA,0.6
"UNAZ-02807","Female","FS28908756",247376,247384,247380,247372,"FE00535389","EDTA Plasma",62,43,"Ctl_Onset","Control",150,"uL","D4","Mouse Plasma","Onset",2,100,NA,0.4
"UNAZ-02808","Male","FS28908733",247376,247384,247380,247372,"FE00535389","EDTA Plasma",82,46,"Ctl_Onset","Control",150,"uL","E5","Mouse Plasma","Onset",2,100,NA,0.5
"UNAZ-02809","Female","FS28908789",247376,247384,247380,247372,"FE00535389","EDTA Plasma",5,49,"Ctl_End","Control",150,"uL","E12","Mouse Plasma","End",3,100,NA,0.7
"UNAZ-02810","Male","FS28908734",247376,247384,247380,247372,"FE00535389","EDTA Plasma",28,52,"Ctl_End","Control",150,"uL","F5","Mouse Plasma","End",3,100,NA,0.6
"UNAZ-02811","Female","FS28908727",247376,247384,247380,247372,"FE00535389","EDTA Plasma",12,55,"Ctl_End","Control",150,"uL","G4","Mouse Plasma","End",3,100,NA,0.6
"UNAZ-02812","Female","FS28908793",247376,247384,247380,247372,"FE00535389","EDTA Plasma",31,58,"WT_PreSymp","WT",150,"uL","A10","Mouse Plasma","PreSymp",1,100,NA,0.65
"UNAZ-02813","Female","FS28908722",247376,247384,247380,247372,"FE00535389","EDTA Plasma",35,61,"WT_PreSymp","WT",150,"uL","B1","Mouse Plasma","PreSymp",1,100,NA,0.75
"UNAZ-02814","Male","FS28908754",247376,247384,247380,247372,"FE00535389","EDTA Plasma",48,64,"WT_PreSymp","WT",150,"uL","B4","Mouse Plasma","PreSymp",1,100,NA,0.8
"UNAZ-02815","Female","FS28908731",247376,247384,247380,247372,"FE00535389","EDTA Plasma",51,67,"WT_Onset","WT",150,"uL","C5","Mouse Plasma","Onset",2,100,NA,0.6
"UNAZ-02816","Female","FS28908755",247376,247384,247380,247372,"FE00535389","EDTA Plasma",54,70,"WT_Onset","WT",150,"uL","C8","Mouse Plasma","Onset",2,100,NA,0.6
"UNAZ-02817","Male","FS28908764",247376,247384,247380,247372,"FE00535389","EDTA Plasma",72,73,"WT_Onset","WT",150,"uL","D9","Mouse Plasma","Onset",2,100,NA,1
"UNAZ-02818","Male","FS28908788",247376,247384,247380,247372,"FE00535389","EDTA Plasma",75,76,"WT_Onset","WT",150,"uL","D12","Mouse Plasma","Onset",2,100,NA,1.1
"UNAZ-02819","Female","FS28908766",247376,247384,247380,247372,"FE00535389","EDTA Plasma",38,79,"WT_End","WT",150,"uL","F9","Mouse Plasma","End",3,100,NA,0.8
"UNAZ-02820","Male","FS28908790",247376,247384,247380,247372,"FE00535389","EDTA Plasma",43,82,"WT_End","WT",150,"uL","F12","Mouse Plasma","End",3,100,NA,0.8
"UNAZ-02821","Male","FS28908799",247376,247384,247380,247372,"FE00535389","EDTA Plasma",44,85,"WT_End","WT",150,"uL","H1","Mouse Plasma","End",3,100,NA,1
"UNAZ-02822","Female","FS28908729",247376,247384,247380,247372,"FE00535389","EDTA Plasma",6,2,"1902_PreSymp","1902",150,"uL","A2","Mouse Plasma","PreSymp",1,100,NA,0.6
"UNAZ-02823","Female","FS29250501",247376,247384,247380,247372,"FE00535389","EDTA Plasma",65,5,"1902_PreSymp","1902",150,"uL","B8","Mouse Plasma","PreSymp",1,100,NA,500
"UNAZ-02824","Male","FS28908794",247376,247384,247380,247372,"FE00535389","EDTA Plasma",87,8,"1902_PreSymp","1902",150,"uL","C1","Mouse Plasma","PreSymp",1,100,NA,800
"UNAZ-02825","Female","FS28908787",247376,247384,247380,247372,"FE00535389","EDTA Plasma",58,11,"1902_Onset","1902",150,"uL","C12","Mouse Plasma","Onset",2,100,NA,0.65
"UNAZ-02826","Female","FS28908732",247376,247384,247380,247372,"FE00535389","EDTA Plasma",68,14,"1902_Onset","1902",150,"uL","D6","Mouse Plasma","Onset",2,90,NA,0.6
"UNAZ-02827","Male","FS28908725",247376,247384,247380,247372,"FE00535389","EDTA Plasma",81,17,"1902_Onset","1902",150,"uL","E4","Mouse Plasma","Onset",2,100,NA,0.7
"UNAZ-02828","Female","FS28908773",247376,247384,247380,247372,"FE00535389","EDTA Plasma",2,20,"1902_End","1902",150,"uL","E10","Mouse Plasma","End",3,100,NA,0.5
"UNAZ-02829","Male","FS28908813",247376,247384,247380,247372,"FE00535389","EDTA Plasma",26,23,"1902_End","1902",150,"uL","F3","Mouse Plasma","End",3,100,NA,0.7
"UNAZ-02830","Female","FS28908735",247376,247384,247380,247372,"FE00535389","EDTA Plasma",13,26,"1902_End","1902",150,"uL","G5","Mouse Plasma","End",3,100,NA,0.5
"UNAZ-02831","Male","FS28908767",247376,247384,247380,247372,"FE00535389","EDTA Plasma",22,29,"1902_End","1902",150,"uL","G9","Mouse Plasma","End",3,100,NA,0.7
"UNAZ-02832","Male","FS28908769",247376,247384,247380,247372,"FE00535389","EDTA Plasma",21,32,"Ctl_PreSymp","Control",150,"uL","A7","Mouse Plasma","PreSymp",1,100,NA,0.9
"UNAZ-02833","Female","FS29250280",247376,247384,247380,247372,"FE00535389","EDTA Plasma",63,35,"Ctl_PreSymp","Control",150,"uL","B7","Mouse Plasma","PreSymp",1,100,NA,500
"UNAZ-02834","Male","FS28908802",247376,247384,247380,247372,"FE00535389","EDTA Plasma",88,38,"Ctl_PreSymp","Control",150,"uL","C2","Mouse Plasma","PreSymp",1,100,NA,850
"UNAZ-02835","Female","FS28908795",247376,247384,247380,247372,"FE00535389","EDTA Plasma",59,41,"Ctl_Onset","Control",150,"uL","D1","Mouse Plasma","Onset",2,100,NA,0.6
"UNAZ-02836","Female","FS28908740",247376,247384,247380,247372,"FE00535389","EDTA Plasma",69,44,"Ctl_Onset","Control",150,"uL","D7","Mouse Plasma","Onset",2,100,NA,0.5
"UNAZ-02837","Male","FS28908741",247376,247384,247380,247372,"FE00535389","EDTA Plasma",83,47,"Ctl_Onset","Control",150,"uL","E6","Mouse Plasma","Onset",2,100,NA,0.7
"UNAZ-02838","Male","FS28908805",247376,247384,247380,247372,"FE00535389","EDTA Plasma",20,50,"Ctl_End","Control",150,"uL","F2","Mouse Plasma","End",3,100,NA,0.55
"UNAZ-02839","Female","FS28908798",247376,247384,247380,247372,"FE00535389","EDTA Plasma",3,53,"Ctl_End","Control",150,"uL","G1","Mouse Plasma","End",3,100,NA,0.7
"UNAZ-02840","Male","FS28908759",247376,247384,247380,247372,"FE00535389","EDTA Plasma",17,56,"Ctl_End","Control",150,"uL","G8","Mouse Plasma","End",3,100,NA,0.9
"UNAZ-02841","Female","FS28908801",247376,247384,247380,247372,"FE00535389","EDTA Plasma",32,59,"WT_PreSymp","WT",150,"uL","A11","Mouse Plasma","PreSymp",1,100,NA,0.8
"UNAZ-02842","Female","FS28908730",247376,247384,247380,247372,"FE00535389","EDTA Plasma",36,62,"WT_PreSymp","WT",150,"uL","B2","Mouse Plasma","PreSymp",1,100,NA,0.6
"UNAZ-02843","Male","FS28908762",247376,247384,247380,247372,"FE00535389","EDTA Plasma",49,65,"WT_PreSymp","WT",150,"uL","B5","Mouse Plasma","PreSymp",1,100,NA,0.7
"UNAZ-02844","Female","FS28908739",247376,247384,247380,247372,"FE00535389","EDTA Plasma",52,68,"WT_Onset","WT",150,"uL","C6","Mouse Plasma","Onset",2,100,NA,0.7
"UNAZ-02845","Female","FS28908763",247376,247384,247380,247372,"FE00535389","EDTA Plasma",55,71,"WT_Onset","WT",150,"uL","C9","Mouse Plasma","Onset",2,100,NA,0.5
"UNAZ-02846","Male","FS28908772",247376,247384,247380,247372,"FE00535389","EDTA Plasma",73,74,"WT_Onset","WT",150,"uL","D10","Mouse Plasma","Onset",2,100,NA,1
"UNAZ-02847","Female","FS28908750",247376,247384,247380,247372,"FE00535389","EDTA Plasma",34,77,"WT_End","WT",150,"uL","F7","Mouse Plasma","End",3,100,NA,0.5
"UNAZ-02848","Male","FS28908774",247376,247384,247380,247372,"FE00535389","EDTA Plasma",41,80,"WT_End","WT",150,"uL","F10","Mouse Plasma","End",3,100,NA,0.9
"UNAZ-02849","Female","FS28908783",247376,247384,247380,247372,"FE00535389","EDTA Plasma",39,83,"WT_End","WT",150,"uL","G11","Mouse Plasma","End",3,100,NA,0.6
"UNAZ-02850","Male","FS28908807",247376,247384,247380,247372,"FE00535389","EDTA Plasma",45,86,"WT_End","WT",150,"uL","H2","Mouse Plasma","End",3,100,NA,0.9
"UNAZ-02851","Female","FS28908753",247376,247384,247380,247372,"FE00535389","EDTA Plasma",11,3,"1902_PreSymp","1902",150,"uL","A5","Mouse Plasma","PreSymp",1,100,NA,0.6
"UNAZ-02852","Female","FS28898516",247376,247384,247380,247372,"FE00535389","EDTA Plasma",66,6,"1902_PreSymp","1902",150,"uL","B9","Mouse Plasma","PreSymp",1,100,NA,500
"UNAZ-02853","Male","FS28908723",247376,247384,247380,247372,"FE00535389","EDTA Plasma",90,9,"1902_PreSymp","1902",150,"uL","C4","Mouse Plasma","PreSymp",1,100,NA,400
