"CHEM_ID","sub_pathway","chem_name","interaction_pval","interaction_fisher","parallel_pval","parallel_fisher","single_pval","single_fisher","model"
30,"Mevalonate Metabolism","mevalonate",0.0281014256242117,0,0.210087605729598,0.47,0.616443858012867,0.67,"Interaction"
35,"Glutamate Metabolism","S-1-pyrroline-5-carboxylate",0.199253070306335,0,0.000311588840313686,0.09,0.00993522152393339,0,"Interaction"
49,"Polyamine Metabolism","putrescine",0.519983612251278,0.01,0.861050352134124,0.45,0.724024005317501,0,"Interaction"
50,"Polyamine Metabolism","spermidine",0.341095516540952,0.01,0.0530446967453804,0.45,0.00581088216954706,0,"Interaction"
55,"Nicotinate and Nicotinamide Metabolism","1-methylnicotinamide",0.374449508321314,0.02,0.0572398644071734,0,0.576836319327719,0,"Interaction"
62,"Fatty Acid, Dihydroxy","12,13-DiHOME",0.105590294097917,0.01,0.736908929559416,0.63,0.0639531143997014,0.19,"Interaction"
71,"Tryptophan Metabolism","5-hydroxyindoleacetate",0.162251612117322,0,0.417315090835099,0.04,0.170982226336242,0,"Interaction"
92,"Lysine Metabolism","2-oxoadipate",0.00226366556935252,0,0.0845463562823747,0.38,0.367933877258906,0,"Interaction"
93,"TCA Cycle","alpha-ketoglutarate",0.00158067099004661,0,0.682848525951162,0.01,0.201331164338743,0.01,"Interaction"
98,"Tryptophan Metabolism","kynurenate",0.0445335762254803,0,0.0334843387509051,0.04,0.252945883922973,0,"Interaction"
104,"Purine Metabolism, Guanine containing","guanosine-3',5'-cyclic monophosphate (cGMP)",0.53094486432359,0.01,0.135027328672425,0.09,0.127343737702542,0.05,"Interaction"
111,"Leucine, Isoleucine and Valine Metabolism","3-hydroxyisobutyrate",0.0448467371994293,0,0.20443897659486,0.16,0.160799189840551,0,"Interaction"
112,"Mevalonate Metabolism","3-hydroxy-3-methylglutarate",0.0208118703836037,0,0.80156529999345,0.47,0.493503809195605,0.67,"Interaction"
132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","3-phosphoglycerate",0.225131081593374,0,0.0114181199797846,0,0.0495937320613636,0,"Interaction"
136,"Primary Bile Acid Metabolism","cholate",0.385434540056047,0.44,0.986708276220648,0.29,0.0487764324693524,0,"Single"
144,"Phenylalanine Metabolism","4-hydroxyphenylacetate",0.132070548632278,0,0.665797081490942,0.63,0.464222310046168,0,"Interaction"
171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing","hypoxanthine",1.49481509088788e-05,0,0.865423699021642,0.01,0.0792692960025161,0,"Interaction"
179,"Fatty Acid, Dihydroxy","9,10-DiHOME",0.161986019418827,0.01,0.872437728680869,0.63,0.088872927833643,0.19,"Interaction"
180,"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","linoleate (18:2n6)",0.0412997505936993,0,0.622167321248486,0.91,0.00290728098915733,0,"Interaction"
181,"Medium Chain Fatty Acid","laurate (12:0)",0.0473868759644698,0.21,0.242352984543538,0.43,0.0340094280138328,0.07,"None"
182,"Nicotinate and Nicotinamide Metabolism","quinolinate",0.0518352785123695,0.02,0.133711408966735,0,0.569105653179509,0,"Interaction"
189,"Lysine Metabolism","N6,N6,N6-trimethyllysine",0.144982816284569,0,0.206557602184192,0.38,0.00832399367929784,0,"Interaction"
192,"Polyamine Metabolism","N-acetylputrescine",0.0301647972917243,0.01,0.803309579885076,0.45,0.370591186715528,0,"Interaction"
194,"Methionine, Cysteine, SAM and Taurine Metabolism","N-formylmethionine",0.704835257605439,0,0.659791653329165,0.01,0.28140624216985,0,"Interaction"
197,"Methionine, Cysteine, SAM and Taurine Metabolism","S-adenosylhomocysteine (SAH)",0.410037340316968,0,0.00616073335528135,0.01,0.0108501682391383,0,"Interaction"
203,"Chemical","glycolate (hydroxyacetate)",0.0459344920504326,0,0.564442031848581,0,0.108052126364417,0,"Interaction"
207,"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",0.0330172585609273,0.01,0.954006814425996,0.24,0.130402269742281,0,"Interaction"
208,"Purine Metabolism, Adenine containing","adenosine 5'-diphosphate (ADP)",0.12210185059895,0.01,0.092881496212296,0.24,0.000608815137329793,0,"Interaction"
209,"Purine Metabolism, Adenine containing","adenosine 5'-monophosphate (AMP)",0.136431523387323,0.01,0.387002918265962,0.24,0.000232059220616301,0,"Interaction"
212,"Polyamine Metabolism","5-methylthioadenosine (MTA)",0.101128603461522,0.01,0.563938322703757,0.45,0.0593138527093437,0,"Interaction"
215,"Nicotinate and Nicotinamide Metabolism","adenosine 5'-diphosphoribose (ADP-ribose)",0.575290746454338,0.02,0.010864795167772,0,0.000455714977953111,0,"Interaction"
218,"Purine Metabolism, (Hypo)Xanthine/Inosine containing","allantoic acid",0.040133186838806,0,0.370673779264288,0.01,0.859730166161007,0,"Interaction"
219,"Pentose Phosphate Pathway","ribose 1-phosphate",1.12795028360321e-06,1.12795028360321e-06,0.921339320310592,0.921339320310592,0.276455676208808,0.276455676208808,"Interaction"
229,"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","arachidonate (20:4n6)",0.048564634043903,0,0.799358464305294,0.91,0.0128240793866339,0,"Interaction"
231,"Urea cycle; Arginine and Proline Metabolism","arginine",0.0942969271657587,0,0.972543448971773,0,0.0609270253597748,0,"Interaction"
232,"Urea cycle; Arginine and Proline Metabolism","argininosuccinate",0.00442593679353065,0,0.000257559126903913,0,0.0111794601416443,0,"Interaction"
234,"Alanine and Aspartate Metabolism","aspartate",0.0342408873526872,0,0.799804948052817,0.92,0.0110182350509627,0.03,"Interaction"
235,"Phenylalanine Metabolism","2-hydroxyphenylacetate",0.111513033719333,0,0.650679768260522,0.63,0.00232100105382114,0,"Interaction"
240,"Tyrosine Metabolism","3-(4-hydroxyphenyl)lactate",0.0166793043726488,0,0.0826130195601345,0,0.209997588537919,0,"Interaction"
241,"Phenylalanine Metabolism","phenylpyruvate",0.0282439153919671,0,0.0934105708383799,0.63,0.00471480869231287,0,"Interaction"
249,"Histidine Metabolism","carnosine",0.0502848310448172,0.08,0.204831300705686,0.03,0.982446282505827,0,"Parallel"
250,"Hemoglobin and Porphyrin Metabolism","biliverdin",0.539462967437577,0.32,0.0739767481473474,0,0.0524524481162071,0,"Parallel"
251,"Biotin Metabolism","biotin",0.688777961725345,0.688777961725345,0.438118231434796,0.438118231434796,0.759194928879465,0.759194928879465,"None"
252,"TCA Cycle","succinate",0.348820757990651,0,0.761181573508759,0.01,0.236183778529972,0.01,"Interaction"
254,"Ketone Bodies","3-hydroxybutyrate (BHBA)",0.0510999208622177,0.0510999208622177,0.935957597168438,0.935957597168438,0.747544197474584,0.747544197474584,"None"
266,"Sterol","cholesterol",0.0646444966796018,0,0.831201744887936,0.99,0.110877025167137,0.03,"Interaction"
267,"Phospholipid Metabolism","choline phosphate",0.00249553628270834,0,0.672624974875499,0,0.502730213716987,0.01,"Interaction"
272,"Corticosteroids","corticosterone",0.61500189551066,0.61500189551066,0.272505460303238,0.272505460303238,0.571324751196251,0.571324751196251,"None"
275,"Creatine Metabolism","creatinine",0.00242711595114895,0,0.0824197844180837,0.46,0.230450175266428,0.03,"Interaction"
279,"Methionine, Cysteine, SAM and Taurine Metabolism","cystine",0.00625875957104591,0,0.0433773727605081,0.01,0.098644742276371,0,"Interaction"
297,"Sphingosines","sphingosine",0.249479125918462,0.09,4.25441741121424e-06,0,0.0294317563261377,0.02,"Parallel"
302,"Secondary Bile Acid Metabolism","deoxycholate",0.633671594324239,0.43,0.770949619374405,0.09,0.0123044901057148,0,"Single"
310,"Methionine, Cysteine, SAM and Taurine Metabolism","cystathionine",0.00265296078901444,0,0.392443481957577,0.01,0.817965544465504,0,"Interaction"
313,"Sphingolipid Synthesis","sphinganine",0.0262133593754358,0.03,2.16549339262252e-06,0,0.220820315353041,0.11,"Interaction"
327,"Riboflavin Metabolism","flavin adenine dinucleotide (FAD)",0.0793003799981356,0.06,0.964892232300945,0.77,0.0556094262950181,0,"Single"
330,"TCA Cycle","fumarate",0.0279302195524835,0,0.379889678844436,0.01,0.285787017482378,0.01,"Interaction"
331,"Gamma-glutamyl Amino Acid","gamma-glutamylglutamate",0.0286800630073128,0,0.510692446526211,0.25,0.407613823067608,0.41,"Interaction"
338,"Food Component/Plant","gluconate",0.00209314403029865,0,0.161328886681045,0,0.454566214496952,0,"Interaction"
339,"Fatty Acid, Dicarboxylate","glutarate (C5-DC)",0.00270170393013582,0,0.0386652155141805,0.03,0.0671769070317111,0,"Interaction"
340,"Glycine, Serine and Threonine Metabolism","glycine",0.0155335824987074,0,0.935259472645587,0.74,0.0664965883599048,0,"Interaction"
342,"Primary Bile Acid Metabolism","glycocholate",0.615789133970343,0.44,0.542606927102914,0.29,0.0123708998517077,0,"Single"
344,"Creatine Metabolism","guanidinoacetate",0.304136894599512,0,0.768125868830509,0.46,0.343100195979323,0.03,"Interaction"
347,"Purine Metabolism, Guanine containing","guanosine 5'-monophosphate (5'-GMP)",0.135895321030763,0.01,0.017881400764136,0.09,0.623048674472662,0.05,"Interaction"
354,"Histidine Metabolism","histamine",0.895639025503403,0.08,0.154010573317582,0.03,0.00269349157373001,0,"Parallel"
355,"Histidine Metabolism","histidine",0.273151300566752,0.08,0.717656307770642,0.03,0.00897265657721392,0,"Parallel"
358,"Methionine, Cysteine, SAM and Taurine Metabolism","hypotaurine",0.200905963775075,0,0.287597788877779,0.01,0.0770573534559101,0,"Interaction"
361,"Purine Metabolism, (Hypo)Xanthine/Inosine containing","inosine",1.34931279995258e-05,0,0.752123460282108,0.01,0.171423097053537,0,"Interaction"
362,"Purine Metabolism, (Hypo)Xanthine/Inosine containing","inosine 5'-monophosphate (IMP)",0.737332995901833,0,7.85064011106844e-06,0.01,1.35918464678985e-05,0,"Interaction"
363,"Inositol Metabolism","myo-inositol",0.465462409559391,0.07,0.0864900876194369,0.01,0.424398945545452,0.12,"Parallel"
376,"Leucine, Isoleucine and Valine Metabolism","isoleucine",0.0372799800713086,0,0.216244872942481,0.16,0.0747210874176187,0,"Interaction"
381,"Lysine Metabolism","2-aminoadipate",0.000814633746817475,0,0.557921987614753,0.38,0.384239129515735,0,"Interaction"
391,"Urea cycle; Arginine and Proline Metabolism","citrulline",0.0707282038276656,0,0.306583820403954,0,0.187808614685966,0,"Interaction"
397,"Leucine, Isoleucine and Valine Metabolism","leucine",0.0147764893668041,0,0.665875706869032,0.16,0.0332133274502268,0,"Interaction"
407,"Lysine Metabolism","lysine",0.0466010888436566,0,0.973058687680574,0.38,0.156441526157674,0,"Interaction"
409,"TCA Cycle","malate",0.0462940938949643,0,0.0548766822246791,0.01,0.0165415308152222,0.01,"Interaction"
415,"Methionine, Cysteine, SAM and Taurine Metabolism","methionine",0.0470041042625792,0,0.784633321508133,0.01,0.176679210510156,0,"Interaction"
418,"Fatty Acid Metabolism (also BCAA Metabolism)","methylmalonate (MMA)",0.0197977258406833,0.01,0.358937329152072,0.06,0.309426549504996,0,"Interaction"
424,"Long Chain Saturated Fatty Acid","palmitate (16:0)",0.00929658765643447,0,0.41706811607908,0.81,0.0154518689237838,0,"Interaction"
432,"Nicotinate and Nicotinamide Metabolism","nicotinamide",0.339059169702603,0.02,0.00124164579924425,0,0.161347195195915,0,"Interaction"
439,"Long Chain Saturated Fatty Acid","stearate (18:0)",0.0112257028084626,0,0.540943487749603,0.81,0.00834715812107783,0,"Interaction"
444,"Urea cycle; Arginine and Proline Metabolism","ornithine",0.0734512311688687,0,0.722544210038443,0,0.0145521167308473,0,"Interaction"
445,"Pyrimidine Metabolism, Orotate containing","orotate",0.0876486619075026,0.01,0.969248465498862,0.04,0.545043236054835,0.43,"Interaction"
448,"Glutathione Metabolism","glutathione, oxidized (GSSG)",0.243688036276461,0,0.00630819284952979,0.46,0.926173307693884,0.11,"Interaction"
452,"Long Chain Monounsaturated Fatty Acid","palmitoleate (16:1n7)",0.0136604012250569,0,0.276082004938136,0.21,0.0504166953590357,0,"Interaction"
460,"Phenylalanine Metabolism","phenylalanine",0.0284133688692847,0,0.672301393572413,0.63,0.00814192330695199,0,"Interaction"
461,"Oxidative Phosphorylation","phosphate",0.0395169258886463,0.0395169258886463,0.815600432778764,0.815600432778764,0.00957201249262136,0.00957201249262136,"Interaction"
463,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","phosphoenolpyruvate (PEP)",0.348492640087068,0,0.0321562242133212,0,0.00580952771220265,0,"Interaction"
480,"Urea cycle; Arginine and Proline Metabolism","proline",0.00959552177169322,0,0.887662357318337,0,0.107881179180293,0,"Interaction"
482,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","lactate",0.0120580825526591,0,0.63036894029079,0,0.118852324327588,0,"Interaction"
491,"Vitamin B6 Metabolism","pyridoxal",0.00678660541084019,0.01,0.295370016368782,0.67,0.444671756345472,0.87,"Interaction"
498,"Vitamin A Metabolism","retinol (vitamin A)",0.0265080745352674,0.01,0.45320582896485,0.11,0.642936423870952,0.1,"Interaction"
