"CHEM_ID","sub_pathway","chem_name","interaction_pval","interaction_fisher","parallel_pval","parallel_fisher","single_pval","single_fisher","model"
30,"Mevalonate Metabolism","mevalonate",0.0281014256242119,0,0.210087605729599,0.47,0.616443858012866,0.67,"Interaction"
35,"Glutamate Metabolism","S-1-pyrroline-5-carboxylate",0.199253070306334,0,0.000311588840313688,0.09,0.00993522152393331,0,"Interaction"
49,"Polyamine Metabolism","putrescine",0.519983612251278,0.01,0.861050352134124,0.45,0.724024005317501,0,"Interaction"
50,"Polyamine Metabolism","spermidine",0.341095516540953,0.01,0.0530446967453805,0.45,0.00581088216954702,0,"Interaction"
55,"Nicotinate and Nicotinamide Metabolism","1-methylnicotinamide",0.374449508321314,0.02,0.0572398644071735,0,0.576836319327718,0,"Interaction"
62,"Fatty Acid, Dihydroxy","12,13-DiHOME",0.105590294097918,0.01,0.736908929559417,0.63,0.0639531143997012,0.19,"Interaction"
71,"Tryptophan Metabolism","5-hydroxyindoleacetate",0.162251612117323,0,0.417315090835099,0.04,0.170982226336242,0,"Interaction"
92,"Lysine Metabolism","2-oxoadipate",0.00226366556935252,0,0.0845463562823749,0.38,0.367933877258905,0,"Interaction"
93,"TCA Cycle","alpha-ketoglutarate",0.00158067099004663,0,0.682848525951162,0.01,0.201331164338742,0.01,"Interaction"
98,"Tryptophan Metabolism","kynurenate",0.0445335762254803,0,0.033484338750905,0.04,0.252945883922973,0,"Interaction"
104,"Purine Metabolism, Guanine containing","guanosine-3',5'-cyclic monophosphate (cGMP)",0.530944864323592,0.01,0.135027328672425,0.09,0.127343737702541,0.05,"Interaction"
111,"Leucine, Isoleucine and Valine Metabolism","3-hydroxyisobutyrate",0.0448467371994299,0,0.20443897659486,0.16,0.160799189840551,0,"Interaction"
112,"Mevalonate Metabolism","3-hydroxy-3-methylglutarate",0.0208118703836038,0,0.801565299993451,0.47,0.493503809195603,0.67,"Interaction"
132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","3-phosphoglycerate",0.225131081593375,0,0.0114181199797846,0,0.0495937320613633,0,"Interaction"
136,"Primary Bile Acid Metabolism","cholate",0.38543454005605,0.44,0.986708276220648,0.29,0.0487764324693524,0,"Single"
144,"Phenylalanine Metabolism","4-hydroxyphenylacetate",0.132070548632279,0,0.665797081490942,0.63,0.464222310046167,0,"Interaction"
171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing","hypoxanthine",1.49481509088788e-05,0,0.865423699021642,0.01,0.0792692960025158,0,"Interaction"
179,"Fatty Acid, Dihydroxy","9,10-DiHOME",0.161986019418827,0.01,0.872437728680869,0.63,0.0888729278336427,0.19,"Interaction"
180,"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","linoleate (18:2n6)",0.0412997505936994,0,0.622167321248486,0.91,0.00290728098915731,0,"Interaction"
181,"Medium Chain Fatty Acid","laurate (12:0)",0.0473868759644703,0.21,0.242352984543538,0.43,0.0340094280138327,0.07,"None"
182,"Nicotinate and Nicotinamide Metabolism","quinolinate",0.0518352785123694,0.02,0.133711408966735,0,0.569105653179509,0,"Interaction"
