"sub_pathway","chem_name","interaction_pval","interaction_fisher","parallel_pval","parallel_fisher","single_pval","single_fisher","model"
"Mevalonate Metabolism","mevalonate",0.433308724538105,0.35,0.000451451707313626,0,0.766233739508307,0.82,"Parallel"
"Glutamate Metabolism","S-1-pyrroline-5-carboxylate",0.835047050668649,0.01,3.64165282709186e-05,0,0.783491806305841,0.99,"Interaction"
"Polyamine Metabolism","putrescine",0.259715931159616,0,0.120468024715587,0,0.881513388139044,1,"Interaction"
"Polyamine Metabolism","spermidine",0.0131957972365227,0,0.000162560781810869,0,0.745703773159971,1,"Interaction"
"Nicotinate and Nicotinamide Metabolism","1-methylnicotinamide",0.0203707294910121,0,0.596258954976444,0,0.415034024545592,0.9,"Interaction"
"Fatty Acid, Dihydroxy","12,13-DiHOME",0.00160882077495719,0,0.392173837216274,0,0.0741217229283144,0.23,"Interaction"
"Tryptophan Metabolism","5-hydroxyindoleacetate",0.0603940001089398,0,0.00264526008004163,0,0.669836791739782,1,"Interaction"
"Lysine Metabolism","2-oxoadipate",0.494941965892332,0.01,0.00141821875917921,0,0.508596075138973,1,"Interaction"
"TCA Cycle","alpha-ketoglutarate",0.166501936495145,0.08,0.0120469730193619,0,0.329164921920254,0.63,"Parallel"
"Tryptophan Metabolism","kynurenate",0.262000115621559,0,0.00666850701907646,0,0.931804127521682,1,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","3-hydroxyisobutyrate",0.0598291347315446,0,0.0148298073981182,0,0.611873709484342,1,"Interaction"
"Mevalonate Metabolism","3-hydroxy-3-methylglutarate",0.251502626134008,0.35,0.0247776314775921,0,0.599748434984747,0.82,"Parallel"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","3-phosphoglycerate",0.211882527809397,0.03,4.75771392240611e-05,0,0.75037851100385,1,"Interaction"
"Primary Bile Acid Metabolism","cholate",0.0561512537779406,0,0.303500924335476,0.72,0.620720566582343,0.93,"Interaction"
"Phenylalanine Metabolism","4-hydroxyphenylacetate",0.591939051673087,0.05,0.123611080751305,0,0.37649797734611,0.96,"Parallel"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","hypoxanthine",0.16552536328514,0.08,0.0982726485910062,0,0.0257560613458827,0.13,"Parallel"
"Fatty Acid, Dihydroxy","9,10-DiHOME",0.000662776533487987,0,0.242496593077395,0,0.129819679050822,0.23,"Interaction"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","linoleate (18:2n6)",0.00162427033512181,0,0.0328068578175664,0,0.0796637612322209,0,"Interaction"
"Medium Chain Fatty Acid","laurate (12:0)",0.000394629869002426,0,0.056364762581734,0.04,0.023626196945907,0.02,"Interaction"
"Nicotinate and Nicotinamide Metabolism","quinolinate",0.494691935541144,0,0.280264822056543,0,0.226841069764585,0.9,"Interaction"
"Lysine Metabolism","N6,N6,N6-trimethyllysine",0.0785167912986112,0.01,0.00169988283467088,0,0.993689707145613,1,"Interaction"
"Polyamine Metabolism","N-acetylputrescine",0.00922272789832424,0,0.000223542698667068,0,0.532225564473614,1,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","N-formylmethionine",0.188626320193701,0.01,0.0314619477468808,0,0.59086570138829,1,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","S-adenosylhomocysteine (SAH)",0.850886340473916,0.01,0.0356903714100289,0,0.0899614520180679,1,"Interaction"
"Chemical","glycolate (hydroxyacetate)",0.0182594268595758,0,0.00176700350255197,0,0.558666966408615,0.98,"Interaction"
"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",0.00430274149664724,0,0.0138656055767552,0,0.299116792473161,0.41,"Interaction"
"Purine Metabolism, Adenine containing","adenosine 5'-diphosphate (ADP)",0.101762166134996,0,0.000358700326713666,0,0.621919673163244,0.41,"Interaction"
"Purine Metabolism, Adenine containing","adenosine 5'-monophosphate (AMP)",0.0316559685205389,0,0.00178902974847201,0,0.545353559434061,0.41,"Interaction"
"Polyamine Metabolism","5-methylthioadenosine (MTA)",0.111453081712643,0,0.000264645931851105,0,0.95759621221751,1,"Interaction"
"Nicotinate and Nicotinamide Metabolism","adenosine 5'-diphosphoribose (ADP-ribose)",0.168409974167952,0,0.00140889193448476,0,0.6795615280666,0.9,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","allantoic acid",0.381540506712328,0.08,0.00378275736341894,0,0.926838729050599,0.13,"Parallel"
"Pentose Phosphate Pathway","ribose 1-phosphate",0.711163423645769,0.711163423645769,0.122756675337826,0.122756675337826,0.356101061471361,0.356101061471361,"None"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","arachidonate (20:4n6)",0.0276671155285524,0,0.0272437238056623,0,0.226994508287556,0,"Interaction"
"Urea cycle; Arginine and Proline Metabolism","arginine",0.386400190772716,0.15,0.0227248322830923,0,0.645874760193741,1,"Parallel"
"Urea cycle; Arginine and Proline Metabolism","argininosuccinate",0.851732173381754,0.15,2.40765892006355e-05,0,0.40441476314424,1,"Parallel"
"Alanine and Aspartate Metabolism","aspartate",0.203291050831123,0.06,0.00575383380979362,0,0.803928502934924,0.98,"Parallel"
"Phenylalanine Metabolism","2-hydroxyphenylacetate",0.104676042775559,0.05,0.0312966775523159,0,0.940669792431766,0.96,"Parallel"
"Tyrosine Metabolism","3-(4-hydroxyphenyl)lactate",0.254120022343328,0.56,0.000349985725418963,0,0.886303040891168,1,"Parallel"
"Phenylalanine Metabolism","phenylpyruvate",0.491075038652788,0.05,0.000295802168939374,0,0.854790808988171,0.96,"Parallel"
"Histidine Metabolism","carnosine",0.0356117690549631,0.12,0.0006401607221993,0,0.502881081996159,0.99,"Parallel"
