"sub_pathway","chem_name","interaction_pval","interaction_fisher","parallel_pval","parallel_fisher","single_pval","single_fisher","model"
"Mevalonate Metabolism","mevalonate",0.361454746641452,0.23,0.217442747814593,0.17,0.910448346788805,0.72,"None"
"Glutamate Metabolism","S-1-pyrroline-5-carboxylate",0.382377406218553,0.5,0.0888487075398593,0.42,0.0816387068192498,0,"Single"
"Polyamine Metabolism","putrescine",0.702489806900487,0.97,0.917487201205007,0.84,0.681557259700746,0,"Single"
"Polyamine Metabolism","spermidine",0.756847699465296,0.97,0.504988779564331,0.84,0.0175057786263629,0,"Single"
"Nicotinate and Nicotinamide Metabolism","1-methylnicotinamide",0.38916880497476,0.45,0.00292964286552522,0,0.464377487682212,0.03,"Parallel"
"Fatty Acid, Dihydroxy","12,13-DiHOME",0.973656522944087,0.71,0.367934771611086,0.77,0.0204487926147378,0.01,"Single"
"Tryptophan Metabolism","5-hydroxyindoleacetate",0.91585591029166,0.63,0.872568108294821,0.3,0.205439620719527,0.01,"Single"
"Lysine Metabolism","2-oxoadipate",0.146006352366611,0.06,0.142426197108083,0.79,0.983051312130604,0,"Single"
"TCA Cycle","alpha-ketoglutarate",0.390828144423523,0.08,0.330128157912974,0,0.427530895171308,0.02,"Parallel"
"Tryptophan Metabolism","kynurenate",0.551197394347882,0.63,0.0937330274193875,0.3,0.766511636237619,0.01,"Single"
"Leucine, Isoleucine and Valine Metabolism","3-hydroxyisobutyrate",0.533692923005963,0.77,0.079316949027092,0.02,0.758186664159666,0.09,"Parallel"
"Mevalonate Metabolism","3-hydroxy-3-methylglutarate",0.171592330766974,0.23,0.182071460910419,0.17,0.386554216094393,0.72,"None"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","3-phosphoglycerate",0.509478143795366,0.54,0.143836089271548,0.13,0.0680735266210442,0.02,"Single"
"Primary Bile Acid Metabolism","cholate",0.731649445126567,0.04,0.446026667208036,0.57,0.470518535341101,0,"Interaction"
"Phenylalanine Metabolism","4-hydroxyphenylacetate",0.66981838392747,0.65,0.52210069572969,0.83,0.557412149122424,0,"Single"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","hypoxanthine",1.31385410886506e-05,0,0.0784421168482807,0,0.628757269785777,0.39,"Interaction"
"Fatty Acid, Dihydroxy","9,10-DiHOME",0.992348975206158,0.71,0.457103089000837,0.77,0.0191785464762588,0.01,"Single"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","linoleate (18:2n6)",0.599357187334667,0.99,0.351541976633554,0.77,0.00157183094585793,0,"Single"
"Medium Chain Fatty Acid","laurate (12:0)",0.894159200262776,0.99,0.0409182794030413,0.01,0.00303586986911067,0,"Parallel"
"Nicotinate and Nicotinamide Metabolism","quinolinate",0.820186655840285,0.45,0.150094626738309,0,0.148548631556877,0.03,"Parallel"
"Lysine Metabolism","N6,N6,N6-trimethyllysine",0.668666827205746,0.06,0.54978272826756,0.79,0.0128905469477145,0,"Single"
"Polyamine Metabolism","N-acetylputrescine",0.541750960099293,0.97,0.333866430925405,0.84,0.20190074232401,0,"Single"
"Methionine, Cysteine, SAM and Taurine Metabolism","N-formylmethionine",0.744308127468598,0.62,0.256467195649064,0.01,0.591988134623315,0.09,"Parallel"
"Methionine, Cysteine, SAM and Taurine Metabolism","S-adenosylhomocysteine (SAH)",0.19499840147526,0.62,0.0138279309607633,0.01,0.942819500112615,0.09,"Parallel"
"Chemical","glycolate (hydroxyacetate)",0.377426030265156,0.26,0.983433272073394,0.29,0.0261505217756847,0,"Single"
"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",0.760796968852951,0.99,0.811226794499282,0.97,0.802203231850231,0.01,"Single"
"Purine Metabolism, Adenine containing","adenosine 5'-diphosphate (ADP)",0.522826943629355,0.99,0.720462779540429,0.97,0.0279137452278042,0.01,"Single"
"Purine Metabolism, Adenine containing","adenosine 5'-monophosphate (AMP)",0.88827830773794,0.99,0.751094963145666,0.97,0.00837591794630303,0.01,"Single"
"Polyamine Metabolism","5-methylthioadenosine (MTA)",0.503219464868727,0.97,0.320613978387169,0.84,0.141833826649725,0,"Single"
"Nicotinate and Nicotinamide Metabolism","adenosine 5'-diphosphoribose (ADP-ribose)",0.967199822780832,0.45,0.154680553524948,0,0.00186525306236966,0.03,"Parallel"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","allantoic acid",0.629787218208462,0,0.30488326300016,0,0.806839549932127,0.39,"Interaction"
"Pentose Phosphate Pathway","ribose 1-phosphate",5.16060900150752e-05,5.16060900150752e-05,0.0222110686663471,0.0222110686663471,0.494256594059521,0.494256594059521,"Interaction"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","arachidonate (20:4n6)",0.510004212822915,0.99,0.615920788372568,0.77,0.00319089863534683,0,"Single"
"Urea cycle; Arginine and Proline Metabolism","arginine",0.306104486389339,0.19,0.758355537899735,0.02,0.0457490103072886,0,"Parallel"
"Urea cycle; Arginine and Proline Metabolism","argininosuccinate",0.00741979921847067,0.19,0.0047589048181247,0.02,0.0105173677271728,0,"Parallel"
"Alanine and Aspartate Metabolism","aspartate",0.276865943191253,0.25,0.882904681846735,0.61,0.0388898903385516,0.03,"Single"
"Phenylalanine Metabolism","2-hydroxyphenylacetate",0.381847903581362,0.65,0.574823914149959,0.83,0.00643712433299576,0,"Single"
"Tyrosine Metabolism","3-(4-hydroxyphenyl)lactate",0.297495361286594,0.11,0.0836138216956546,0.18,0.899519131427248,0.28,"None"
"Phenylalanine Metabolism","phenylpyruvate",0.273994737673739,0.65,0.267387952221395,0.83,0.117293576643592,0,"Single"
"Histidine Metabolism","carnosine",0.552643149077293,0.76,0.205013780251021,0,0.412481630736243,0,"Parallel"
"TCA Cycle","succinate",0.0476707476061197,0.08,0.395250027329912,0,0.317233070430975,0.02,"Parallel"
"Ketone Bodies","3-hydroxybutyrate (BHBA)",0.887230598123446,0.887230598123446,0.150452919121775,0.150452919121775,0.291803354825399,0.291803354825399,"None"
"Sterol","cholesterol",0.532587444968322,0.35,0.782357426901677,0.88,0.085481147407746,0,"Single"
"Phospholipid Metabolism","choline phosphate",0.346031840078609,0.59,0.79382098607981,0.01,0.244494843011157,0,"Parallel"
"Creatine Metabolism","creatinine",0.0403048988164265,0.02,0.204176706667215,0.36,0.580456462835146,0.06,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","cystine",0.350026316912391,0.62,0.337783542406889,0.01,0.102471622083126,0.09,"Parallel"
"Sphingosines","sphingosine",0.134879260785529,0.3,0.024483903208361,0.09,0.0404502254531709,0.01,"Single"
"Secondary Bile Acid Metabolism","deoxycholate",0.688167873328106,0.34,0.123628325719768,0.04,0.000373776997741465,0,"Parallel"
"Methionine, Cysteine, SAM and Taurine Metabolism","cystathionine",0.462017391765995,0.62,0.474655536149813,0.01,0.185297522830821,0.09,"Parallel"
"Sphingolipid Synthesis","sphinganine",0.0231067992436287,0.14,0.0450938124054853,0.01,0.14728507365321,0.21,"Parallel"
"Riboflavin Metabolism","flavin adenine dinucleotide (FAD)",0.712244426993435,0.73,0.894089854678878,0.81,0.0494176158536157,0.01,"Single"
"TCA Cycle","fumarate",0.107146403858241,0.08,0.196668028375614,0,0.29545666398636,0.02,"Parallel"
"Gamma-glutamyl Amino Acid","gamma-glutamylglutamate",0.320060632109482,0.45,0.509458855887351,0.02,0.495590479463876,0.42,"Parallel"
"Food Component/Plant","gluconate",0.107374256229148,0,0.0954131154672322,0,0.350486782052323,0.38,"Interaction"
"Fatty Acid, Dicarboxylate","glutarate (C5-DC)",0.029576762340845,0.72,0.0369419977841281,0.21,0.784625696438845,0,"Single"
"Glycine, Serine and Threonine Metabolism","glycine",0.623856463086734,0.93,0.875974738877806,0.63,0.0396199201404204,0,"Single"
"Primary Bile Acid Metabolism","glycocholate",0.262151632470162,0.04,0.697256349531375,0.57,0.0840973051128748,0,"Interaction"
"Creatine Metabolism","guanidinoacetate",0.0140698312812258,0.02,0.42095650920831,0.36,0.131302189367613,0.06,"Interaction"
"Purine Metabolism, Guanine containing","guanosine 5'-monophosphate (5'-GMP)",0.0782367615120553,0.26,0.633799030506426,0.53,0.753513534092307,0.08,"None"
"Histidine Metabolism","histamine",0.73507240313063,0.76,0.204666691626184,0,0.00511509910080297,0,"Parallel"
"Histidine Metabolism","histidine",0.9269912493973,0.76,0.824185707725834,0,0.0268427483081746,0,"Parallel"
"Methionine, Cysteine, SAM and Taurine Metabolism","hypotaurine",0.382468807696517,0.62,0.455586174565947,0.01,0.045260969064387,0.09,"Parallel"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","inosine",8.56942691560775e-05,0,0.0112959838352875,0,0.946918808096248,0.39,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","inosine 5'-monophosphate (IMP)",0.544735367129126,0,0.0654152039388785,0,0.00406818242211373,0.39,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","isoleucine",0.338422405588908,0.77,0.0481855441035612,0.02,0.204421108776732,0.09,"Parallel"
"Lysine Metabolism","2-aminoadipate",0.04647857234747,0.06,0.476080844332215,0.79,0.653037524635425,0,"Single"
"Urea cycle; Arginine and Proline Metabolism","citrulline",0.532107080382052,0.19,0.539628970840309,0.02,0.17841340810022,0,"Parallel"
