"sub_pathway","chem_name","interaction_pval","interaction_fisher","parallel_pval","parallel_fisher","single_pval","single_fisher","model"
"Mevalonate Metabolism","mevalonate",0.108671485337698,0.02,0.204313572588461,0.31,0.90828345173922,0.95,"Interaction"
"Glutamate Metabolism","S-1-pyrroline-5-carboxylate",0.178331259369788,0,0.0324677356535859,0.05,0.163633527784739,0.22,"Interaction"
"Polyamine Metabolism","putrescine",0.153216253857526,0,0.124329482643584,0.01,0.837851265221545,0.13,"Interaction"
"Polyamine Metabolism","spermidine",0.0532641469801924,0,0.0444136159982039,0.01,0.0447973477737343,0.13,"Interaction"
"Nicotinate and Nicotinamide Metabolism","1-methylnicotinamide",0.0518215674847114,0.01,0.354800100735289,0,0.967551124806526,0.11,"Interaction"
"Fatty Acid, Dihydroxy","12,13-DiHOME",0.097139674800081,0,0.808168434690794,0.59,0.270598552456982,0.54,"Interaction"
"Tryptophan Metabolism","5-hydroxyindoleacetate",0.47648768790939,0,0.473291392614228,0.01,0.177529621360069,0.15,"Interaction"
"Lysine Metabolism","2-oxoadipate",0.0121702771534783,0,0.177883598465711,0.02,0.595072943441668,0.15,"Interaction"
"TCA Cycle","alpha-ketoglutarate",0.0526080508561719,0,0.546997406577628,0.43,0.924632333244921,0.29,"Interaction"
"Tryptophan Metabolism","kynurenate",0.0752680451073624,0,0.134513784874922,0.01,0.740984323938639,0.15,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","3-hydroxyisobutyrate",0.0455256159990499,0,0.432714294427814,0.05,0.498979722644722,0.85,"Interaction"
"Mevalonate Metabolism","3-hydroxy-3-methylglutarate",0.0192858023331483,0.02,0.454987257966234,0.31,0.767439729473777,0.95,"Interaction"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","3-phosphoglycerate",0.127944435548892,0,0.0175632847554128,0,0.0738671057845525,0.07,"Interaction"
"Primary Bile Acid Metabolism","cholate",0.0191054022324229,0,0.280853687911413,0.01,0.234944217508133,0,"Interaction"
