"sub_pathway","chem_name","interaction_pval","interaction_fisher","parallel_pval","parallel_fisher","single_pval","single_fisher","model"
"Mevalonate Metabolism","mevalonate",0.300788251605769,0.36,0.617412715021788,0.62,0.134964434739527,0.25,"None"
"Glutamate Metabolism","S-1-pyrroline-5-carboxylate",0.309045850755179,0.83,0.216511447793092,0.07,0.0231000962328442,0.01,"Single"
"Polyamine Metabolism","putrescine",0.937310537722164,1,0.167518922608943,0.03,0.509330331443969,0.02,"Parallel"
"Polyamine Metabolism","spermidine",0.941126098685034,1,0.230404441497768,0.03,0.145921143707253,0.02,"Parallel"
"Nicotinate and Nicotinamide Metabolism","1-methylnicotinamide",0.819121465831969,0.95,0.0204909896789788,0,0.114706737930397,0.01,"Parallel"
"Fatty Acid, Dihydroxy","12,13-DiHOME",0.877677978544086,0.91,0.500221080589175,0.91,0.612019500377138,0.87,"None"
"Tryptophan Metabolism","5-hydroxyindoleacetate",0.723256779903197,0.65,0.289719398592551,0.25,0.120514291320542,0,"Single"
"Lysine Metabolism","2-oxoadipate",0.176701032228569,0.76,0.818675900576438,0.36,0.403404952223021,0,"Single"
"TCA Cycle","alpha-ketoglutarate",0.0799338863301084,0.45,0.745244481031542,0.54,0.251056487267307,0.19,"None"
"Tryptophan Metabolism","kynurenate",0.471279841129764,0.65,0.391244688427129,0.25,0.09404279449788,0,"Single"
"Leucine, Isoleucine and Valine Metabolism","3-hydroxyisobutyrate",0.786933204970151,0.81,0.371087643929943,0.88,0.110557404767149,0,"Single"
"Mevalonate Metabolism","3-hydroxy-3-methylglutarate",0.375761977951749,0.36,0.433901229557326,0.62,0.504919877386698,0.25,"None"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","3-phosphoglycerate",0.520412775664326,0.86,0.0351092212431206,0.26,0.471319599642143,0.05,"None"
"Primary Bile Acid Metabolism","cholate",0.617179053966872,0.95,0.298422700662733,0,0.0802207174326893,0,"Parallel"
"Phenylalanine Metabolism","4-hydroxyphenylacetate",0.198181515530498,0.46,0.42785269664383,0.65,0.587593735761446,0,"Single"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","hypoxanthine",0.00720040988606132,0.01,0.357069928766332,0.39,0.159307770474214,0.02,"Interaction"
"Fatty Acid, Dihydroxy","9,10-DiHOME",0.967473910504702,0.91,0.533343352787943,0.91,0.715305694522441,0.87,"None"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","linoleate (18:2n6)",0.980203056394872,1,0.310228116251899,0.16,0.295196925881619,0.04,"Single"
"Medium Chain Fatty Acid","laurate (12:0)",0.610122133586961,0.99,0.511751592827758,0.83,0.718099043557834,1,"None"
"Nicotinate and Nicotinamide Metabolism","quinolinate",0.663458743717981,0.95,0.727742516339659,0,0.704507673226447,0.01,"Parallel"
"Lysine Metabolism","N6,N6,N6-trimethyllysine",0.594489945470081,0.76,0.255075533104227,0.36,0.181536614926565,0,"Single"
"Polyamine Metabolism","N-acetylputrescine",0.519670039218152,1,0.0213499666921316,0.03,0.354953047214565,0.02,"Parallel"
"Methionine, Cysteine, SAM and Taurine Metabolism","N-formylmethionine",0.890764506010292,0.35,0.497914681384621,0.06,0.0782245232144775,0,"Single"
"Methionine, Cysteine, SAM and Taurine Metabolism","S-adenosylhomocysteine (SAH)",0.800156093442225,0.35,0.219062514550608,0.06,0.020802337139582,0,"Single"
"Chemical","glycolate (hydroxyacetate)",0.637336737637074,0.99,0.310714154556911,0,0.305769181706201,0,"Parallel"
"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",0.732077948084793,1,0.097009148552349,0.23,0.179474304908144,0,"Single"
"Purine Metabolism, Adenine containing","adenosine 5'-diphosphate (ADP)",0.834400886720167,1,0.905759534123124,0.23,0.0073308935202951,0,"Single"
"Purine Metabolism, Adenine containing","adenosine 5'-monophosphate (AMP)",0.883323332846884,1,0.569640594966569,0.23,0.00780577189511598,0,"Single"
"Polyamine Metabolism","5-methylthioadenosine (MTA)",0.69953797037184,1,0.276580610446487,0.03,0.190382028672442,0.02,"Parallel"
"Nicotinate and Nicotinamide Metabolism","adenosine 5'-diphosphoribose (ADP-ribose)",0.707834274239466,0.95,0.270480018663725,0,0.0775299924892907,0.01,"Parallel"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","allantoic acid",0.244218019305802,0.01,0.365447435210597,0.39,0.811849704010099,0.02,"Interaction"
"Pentose Phosphate Pathway","ribose 1-phosphate",0.0036287264426072,0.0036287264426072,0.160203587371915,0.160203587371915,0.286326345525422,0.286326345525422,"Interaction"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","arachidonate (20:4n6)",0.859419329641539,1,0.311421867589489,0.16,0.552914241751493,0.04,"Single"
"Urea cycle; Arginine and Proline Metabolism","arginine",0.786856605715325,0.84,0.382466397725214,0.03,0.299688139610155,0,"Parallel"
"Urea cycle; Arginine and Proline Metabolism","argininosuccinate",0.16347190120042,0.84,0.443149126438965,0.03,0.0742207563994176,0,"Parallel"
"Alanine and Aspartate Metabolism","aspartate",0.730058937225142,0.91,0.269924016329492,0.13,0.0966340688927341,0.06,"None"
"Phenylalanine Metabolism","2-hydroxyphenylacetate",0.379321101596472,0.46,0.504230786418431,0.65,0.102374772083133,0,"Single"
"Tyrosine Metabolism","3-(4-hydroxyphenyl)lactate",0.38701670429178,0.06,0.950833555063456,0.25,0.0552022832483471,0,"Single"
"Phenylalanine Metabolism","phenylpyruvate",0.381775525251661,0.46,0.94713548294113,0.65,0.00509399565350547,0,"Single"
"Histidine Metabolism","carnosine",0.760383794557648,1,0.691351347513166,0,0.557307008289057,0,"Parallel"
"Hemoglobin and Porphyrin Metabolism","biliverdin",0.816561467142571,0.38,0.0466008451454328,0,0.706451367916864,0.21,"Parallel"
"Biotin Metabolism","biotin",0.796686207997225,0.796686207997225,0.518480679682983,0.518480679682983,0.966865069404902,0.966865069404902,"None"
"TCA Cycle","succinate",0.909446803950396,0.45,0.856431652871795,0.54,0.202394127522637,0.19,"None"
"Ketone Bodies","3-hydroxybutyrate (BHBA)",0.678506325582978,0.678506325582978,0.969173107576329,0.969173107576329,0.32879930503446,0.32879930503446,"None"
"Sterol","cholesterol",0.878970475975769,0.93,0.290953622482781,0.73,0.481570546936155,0.42,"None"
"Phospholipid Metabolism","choline phosphate",0.118702392367304,0.81,0.0568563183145701,0.02,0.48074118105573,0.18,"Parallel"
"Corticosteroids","corticosterone",0.525551771442037,0.525551771442037,0.693947900399861,0.693947900399861,0.428246667493126,0.428246667493126,"None"
"Creatine Metabolism","creatinine",0.251247623845003,0.67,0.624302295952712,0.86,0.209955818476321,0.31,"None"
"Methionine, Cysteine, SAM and Taurine Metabolism","cystine",0.0119705437676462,0.35,0.00331315571560285,0.06,0.384057268486295,0,"Single"
"Sphingosines","sphingosine",0.806905603950721,0.97,0.113681877557567,0.18,0.109073331176201,0.17,"None"
"Secondary Bile Acid Metabolism","deoxycholate",0.481585832121555,0.88,0.0739437917364841,0,0.0483368016171349,0.01,"Parallel"
"Methionine, Cysteine, SAM and Taurine Metabolism","cystathionine",0.283700042774068,0.35,0.461537398418182,0.06,0.435116545194909,0,"Single"
"Sphingolipid Synthesis","sphinganine",0.437296102233478,0.81,0.0281672307758412,0,0.335851621682288,0.49,"Parallel"
"Riboflavin Metabolism","flavin adenine dinucleotide (FAD)",0.89259555122872,0.98,0.0864639124851821,0.21,0.403700602152086,0.07,"None"
"TCA Cycle","fumarate",0.908018212795859,0.45,0.616541987915666,0.54,0.886917201160642,0.19,"None"
"Gamma-glutamyl Amino Acid","gamma-glutamylglutamate",0.514539348639662,0.48,0.485925568929026,0.13,0.417489789153668,0.19,"None"
"Food Component/Plant","gluconate",0.220046793450703,0.04,0.694709319650243,0,0.76386999690059,0,"Interaction"
"Fatty Acid, Dicarboxylate","glutarate (C5-DC)",0.225321380620005,0.93,0.675113685018275,0.95,0.0492861612875602,0,"Single"
"Glycine, Serine and Threonine Metabolism","glycine",0.350855100184688,0.56,0.334059475147185,0.03,0.180881942995501,0.01,"Parallel"
"Primary Bile Acid Metabolism","glycocholate",0.630991286323785,0.95,0.0809297897171154,0,0.0324603649332473,0,"Parallel"
"Creatine Metabolism","guanidinoacetate",0.519673032915152,0.67,0.799317096327048,0.86,0.76926799763063,0.31,"None"
"Purine Metabolism, Guanine containing","guanosine 5'-monophosphate (5'-GMP)",0.186010970700887,0.57,0.034136739161405,0.06,0.516185239297593,0.47,"None"
"Histidine Metabolism","histamine",0.879341895886132,1,0.454855459832224,0,0.0145376575540687,0,"Parallel"
"Histidine Metabolism","histidine",0.753227888058848,1,0.0423194061929523,0,0.0837976871463832,0,"Parallel"
"Methionine, Cysteine, SAM and Taurine Metabolism","hypotaurine",0.620491168773005,0.35,0.917175310661047,0.06,0.337344899988535,0,"Single"
