"CHEM_ID","sub_pathway","chem_name","interaction_pval","interaction_fisher","parallel_pval","parallel_fisher","single_pval","single_fisher","model"
30,"Mevalonate Metabolism","mevalonate",0.31890815993103,0.35,0.658717602534082,0.67,0.133702543173001,0.26,"None"
35,"Glutamate Metabolism","S-1-pyrroline-5-carboxylate",0.291196319954568,0.8,0.208055672092061,0.04,0.0249592058745702,0.02,"Parallel"
49,"Polyamine Metabolism","putrescine",0.953251539672942,1,0.0440652966901325,0.02,0.521936891230551,0.03,"Parallel"
50,"Polyamine Metabolism","spermidine",0.946053230115649,1,0.245066910409913,0.02,0.145451094484588,0.03,"Parallel"
55,"Nicotinate and Nicotinamide Metabolism","1-methylnicotinamide",0.809436397643022,0.91,0.0245380047465204,0,0.119662319676668,0.01,"Parallel"
62,"Fatty Acid, Dihydroxy","12,13-DiHOME",0.884228806268376,0.9,0.520414391948541,0.93,0.607685790547103,0.88,"None"
71,"Tryptophan Metabolism","5-hydroxyindoleacetate",0.723365285896771,0.76,0.288437966873526,0.17,0.124727328204104,0,"Single"
92,"Lysine Metabolism","2-oxoadipate",0.176183909576028,0.72,0.802708432022389,0.43,0.41487491343743,0,"Single"
93,"TCA Cycle","alpha-ketoglutarate",0.0765571567821764,0.37,0.762151823462164,0.61,0.258726071772486,0.19,"None"
98,"Tryptophan Metabolism","kynurenate",0.480766777169417,0.76,0.369688353907614,0.17,0.0927782433949938,0,"Single"
104,"Purine Metabolism, Guanine containing","guanosine-3',5'-cyclic monophosphate (cGMP)",0.40712217749674,0.63,0.785066584609299,0.11,0.0449121966514437,0.18,"None"
111,"Leucine, Isoleucine and Valine Metabolism","3-hydroxyisobutyrate",0.782814232459165,0.83,0.370826103457706,0.84,0.112373476243647,0,"Single"
112,"Mevalonate Metabolism","3-hydroxy-3-methylglutarate",0.345246684849158,0.35,0.460558662341475,0.67,0.529109338455688,0.26,"None"
132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","3-phosphoglycerate",0.536982948088639,0.84,0.0392750856744466,0.21,0.466752903140365,0.08,"None"
136,"Primary Bile Acid Metabolism","cholate",0.609907756805989,0.94,0.294915805870396,0,0.0784341427410557,0,"Parallel"
144,"Phenylalanine Metabolism","4-hydroxyphenylacetate",0.603656074104036,0.49,0.86253271231415,0.65,0.714080908268047,0,"Single"
171,"Purine Metabolism, (Hypo)Xanthine/Inosine containing","hypoxanthine",0.00630325145006596,0,0.317518196659505,0.36,0.240563917843783,0.01,"Interaction"
179,"Fatty Acid, Dihydroxy","9,10-DiHOME",0.968945180492752,0.9,0.553708281443579,0.93,0.714181981685978,0.88,"None"
180,"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","linoleate (18:2n6)",0.979839191282898,1,0.325192203809651,0.13,0.28781756318907,0.05,"None"
181,"Medium Chain Fatty Acid","laurate (12:0)",0.611898204625634,0.99,0.530843760719692,0.77,0.699529825405984,1,"None"
182,"Nicotinate and Nicotinamide Metabolism","quinolinate",0.292781735012518,0.91,0.954961058302911,0,0.648352374808895,0.01,"Parallel"
189,"Lysine Metabolism","N6,N6,N6-trimethyllysine",0.610677673378577,0.72,0.275493949001647,0.43,0.180090946656182,0,"Single"
192,"Polyamine Metabolism","N-acetylputrescine",0.524549229919185,1,0.0224419185273622,0.02,0.362918682125989,0.03,"Parallel"
194,"Methionine, Cysteine, SAM and Taurine Metabolism","N-formylmethionine",0.89422416027097,0.54,0.51929781721104,0.07,0.0781898018279432,0,"Single"
197,"Methionine, Cysteine, SAM and Taurine Metabolism","S-adenosylhomocysteine (SAH)",0.921855098079054,0.54,0.286136732822987,0.07,0.0122381467978565,0,"Single"
203,"Chemical","glycolate (hydroxyacetate)",0.437246511258375,0.6,0.435485183836232,0,0.407879628560711,0,"Parallel"
207,"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",0.726683036218348,1,0.102888146584824,0.34,0.187616203605638,0,"Single"
208,"Purine Metabolism, Adenine containing","adenosine 5'-diphosphate (ADP)",0.829913028145168,1,0.902633497954907,0.34,0.0073658870377743,0,"Single"
209,"Purine Metabolism, Adenine containing","adenosine 5'-monophosphate (AMP)",0.891939070599365,1,0.591436846279607,0.34,0.00780416979225441,0,"Single"
212,"Polyamine Metabolism","5-methylthioadenosine (MTA)",0.699235555644121,1,0.297533233537955,0.02,0.192603035396877,0.03,"Parallel"
215,"Nicotinate and Nicotinamide Metabolism","adenosine 5'-diphosphoribose (ADP-ribose)",0.72828238914277,0.91,0.286677464730056,0,0.0766513617971199,0.01,"Parallel"
218,"Purine Metabolism, (Hypo)Xanthine/Inosine containing","allantoic acid",0.250449173974765,0,0.384508855680095,0.36,0.827190463740085,0.01,"Interaction"
219,"Pentose Phosphate Pathway","ribose 1-phosphate",0.0036725768410362,0.0036725768410362,0.164220065361006,0.164220065361006,0.275331384895691,0.275331384895691,"Interaction"
229,"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","arachidonate (20:4n6)",0.861335858462824,1,0.325542137584498,0.13,0.548961602809763,0.05,"None"
231,"Urea cycle; Arginine and Proline Metabolism","arginine",0.78043354583245,0.85,0.407007827959641,0.04,0.310635006142988,0,"Parallel"
232,"Urea cycle; Arginine and Proline Metabolism","argininosuccinate",0.153123222977189,0.85,0.422675347454663,0.04,0.0847367140086891,0,"Parallel"
234,"Alanine and Aspartate Metabolism","aspartate",0.727396123835036,0.9,0.291684126065572,0.16,0.0976366114369001,0.06,"None"
235,"Phenylalanine Metabolism","2-hydroxyphenylacetate",0.389016406114863,0.49,0.67950289984665,0.65,0.0541590406014815,0,"Single"
240,"Tyrosine Metabolism","3-(4-hydroxyphenyl)lactate",0.392168142550277,0.16,0.956761950630462,0.39,0.0569602200183669,0,"Single"
241,"Phenylalanine Metabolism","phenylpyruvate",0.385359645849363,0.49,0.936289330352295,0.65,0.0052111428724346,0,"Single"
249,"Histidine Metabolism","carnosine",0.757083471387905,1,0.712403509268926,0,0.579576471759602,0.01,"Parallel"
250,"Hemoglobin and Porphyrin Metabolism","biliverdin",0.824193037251732,0.92,0.0510125922553009,0,0.692334752214249,0.44,"Parallel"
251,"Biotin Metabolism","biotin",0.730778613137494,0.730778613137494,0.756600246391611,0.756600246391611,0.954427143976121,0.954427143976121,"None"
252,"TCA Cycle","succinate",0.89158157564799,0.37,0.870736018075432,0.61,0.213840382084773,0.19,"None"
254,"Ketone Bodies","3-hydroxybutyrate (BHBA)",0.65847063081583,0.65847063081583,0.973692724512986,0.973692724512986,0.348410533719696,0.348410533719696,"None"
266,"Sterol","cholesterol",0.879848380482358,0.96,0.307284355576198,0.84,0.475345143985812,0.47,"None"
267,"Phospholipid Metabolism","choline phosphate",0.116456315601762,0.77,0.06303526086311,0.03,0.501143664702715,0.19,"Parallel"
272,"Corticosteroids","corticosterone",0.533581215393563,0.533581215393563,0.683280726607794,0.683280726607794,0.443968313379269,0.443968313379269,"None"
275,"Creatine Metabolism","creatinine",0.251324563816655,0.63,0.610415777532191,0.87,0.217101894227605,0.24,"None"
279,"Methionine, Cysteine, SAM and Taurine Metabolism","cystine",0.0106857569163309,0.54,0.00400112905397486,0.07,0.405798106808249,0,"Single"
297,"Sphingosines","sphingosine",0.795593956599181,0.96,0.111568132607535,0.19,0.111027844352506,0.18,"None"
302,"Secondary Bile Acid Metabolism","deoxycholate",0.480330042930236,0.87,0.0732143575908115,0,0.045058529790215,0,"Parallel"
310,"Methionine, Cysteine, SAM and Taurine Metabolism","cystathionine",0.0909483483272815,0.54,0.517197109159175,0.07,0.407138287115314,0,"Single"
313,"Sphingolipid Synthesis","sphinganine",0.421423511638961,0.54,0.0277716587825593,0,0.338096274623406,0.41,"Parallel"
327,"Riboflavin Metabolism","flavin adenine dinucleotide (FAD)",0.893745617673527,0.98,0.0924450641168594,0.23,0.400043661471685,0.07,"None"
330,"TCA Cycle","fumarate",0.62626420428373,0.37,0.791536015165,0.61,0.621899784465531,0.19,"None"
331,"Gamma-glutamyl Amino Acid","gamma-glutamylglutamate",0.519282451477308,0.4,0.505799173172353,0.18,0.423081020804652,0.2,"None"
338,"Food Component/Plant","gluconate",0.210965372062725,0.02,0.724784999461043,0,0.793917166758562,0,"Interaction"
339,"Fatty Acid, Dicarboxylate","glutarate (C5-DC)",0.218361648733908,0.91,0.655216694267042,0.95,0.0510344124914765,0,"Single"
340,"Glycine, Serine and Threonine Metabolism","glycine",0.348773429005818,0.53,0.354833513277117,0.04,0.18553815300826,0.01,"Parallel"
342,"Primary Bile Acid Metabolism","glycocholate",0.42429399250956,0.94,0.069548572807365,0,0.0201728925120044,0,"Parallel"
344,"Creatine Metabolism","guanidinoacetate",0.539427152215731,0.63,0.743083789231141,0.87,0.593331126625745,0.24,"None"
347,"Purine Metabolism, Guanine containing","guanosine 5'-monophosphate (5'-GMP)",0.224735911687469,0.63,0.0278010471566052,0.11,0.619932096747018,0.18,"None"
354,"Histidine Metabolism","histamine",0.999482973819406,1,0.692845378955558,0,0.00512575260766057,0.01,"Parallel"
355,"Histidine Metabolism","histidine",0.744123200643115,1,0.0543778143152969,0,0.0867847296512965,0.01,"Parallel"
358,"Methionine, Cysteine, SAM and Taurine Metabolism","hypotaurine",0.608433940501923,0.54,0.932283827158221,0.07,0.334549938821205,0,"Single"
361,"Purine Metabolism, (Hypo)Xanthine/Inosine containing","inosine",0.0013075569919544,0,0.298798266900119,0.36,0.197743742316499,0.01,"Interaction"
362,"Purine Metabolism, (Hypo)Xanthine/Inosine containing","inosine 5'-monophosphate (IMP)",0.859365973495509,0,0.0538775281860695,0.36,0.00217634627610507,0.01,"Interaction"
363,"Inositol Metabolism","myo-inositol",0.660333404428595,0.73,0.109343043383923,0.08,0.293741873077407,0.01,"Single"
376,"Leucine, Isoleucine and Valine Metabolism","isoleucine",0.698287636473572,0.83,0.772418275726617,0.84,0.040683282585948,0,"Single"
381,"Lysine Metabolism","2-aminoadipate",0.142685775139978,0.72,0.759804858873742,0.43,0.225794194119034,0,"Single"
391,"Urea cycle; Arginine and Proline Metabolism","citrulline",0.579925988889968,0.85,0.402322052251066,0.04,0.216193100894458,0,"Parallel"
397,"Leucine, Isoleucine and Valine Metabolism","leucine",0.505262424251291,0.83,0.360354476708134,0.84,0.0599257472537406,0,"Single"
407,"Lysine Metabolism","lysine",0.555718009424332,0.72,0.148300616598571,0.43,0.617405087277628,0,"Single"
409,"TCA Cycle","malate",0.366653959034224,0.37,0.275734860247987,0.61,0.285198045656139,0.19,"None"
415,"Methionine, Cysteine, SAM and Taurine Metabolism","methionine",0.394274458027853,0.54,0.210481540647103,0.07,0.298647015194657,0,"Single"
418,"Fatty Acid Metabolism (also BCAA Metabolism)","methylmalonate (MMA)",0.0945006028074042,0.7,0.566467325637484,0.28,0.91813113051552,0,"Single"
424,"Long Chain Saturated Fatty Acid","palmitate (16:0)",0.879756252691397,1,0.849609654233363,0.79,0.385779529356459,0.16,"None"
432,"Nicotinate and Nicotinamide Metabolism","nicotinamide",0.673106018964375,0.91,0.0945162539141752,0,0.341797200747693,0.01,"Parallel"
439,"Long Chain Saturated Fatty Acid","stearate (18:0)",0.774094085730731,1,0.734377136135689,0.79,0.426999664357315,0.16,"None"
444,"Urea cycle; Arginine and Proline Metabolism","ornithine",0.562025159109856,0.85,0.445893717619346,0.04,0.0135547501109562,0,"Parallel"
445,"Pyrimidine Metabolism, Orotate containing","orotate",0.603372783776277,0.87,0.36671461732869,0.07,0.157439141481975,0.12,"None"
448,"Glutathione Metabolism","glutathione, oxidized (GSSG)",0.628628790951462,0.68,0.269388101995164,0.13,0.552590421785856,0.09,"None"
452,"Long Chain Monounsaturated Fatty Acid","palmitoleate (16:1n7)",0.946411441549435,1,0.838738537542212,0.26,0.693040242112236,0.33,"None"
460,"Phenylalanine Metabolism","phenylalanine",0.659148364152229,0.49,0.145453458280084,0.65,0.07919117836649,0,"Single"
461,"Oxidative Phosphorylation","phosphate",0.768579578639622,0.768579578639622,0.170551000168203,0.170551000168203,0.1772660226779,0.1772660226779,"None"
463,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","phosphoenolpyruvate (PEP)",0.811251905834364,0.84,0.195698695239399,0.21,0.124808132658199,0.08,"None"
480,"Urea cycle; Arginine and Proline Metabolism","proline",0.103367181392042,0.85,0.0914375213139937,0.04,0.120301448460282,0,"Parallel"
482,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","lactate",0.545196530263126,0.84,0.53610669406974,0.21,0.186936349125917,0.08,"None"
491,"Vitamin B6 Metabolism","pyridoxal",0.202115593183231,0.71,0.336661731925846,0.85,0.255916970372861,0.55,"None"
498,"Vitamin A Metabolism","retinol (vitamin A)",0.856923415091882,0.93,0.515685544744247,0.39,0.296022985298529,0.12,"None"
500,"Riboflavin Metabolism","riboflavin (vitamin B2)",0.895942405974659,0.98,0.645793594553453,0.23,0.0333905314280368,0.07,"None"
501,"Drug - Topical Agents","salicylate",0.261646283314145,0.07,0.00892486113515971,0.01,0.00330093067847952,0,"Parallel"
503,"Glycine, Serine and Threonine Metabolism","serine",0.374479377128704,0.53,0.265032456240461,0.04,0.175760964344152,0.01,"Parallel"
504,"Tryptophan Metabolism","serotonin",0.989059903956632,0.76,0.177824070276844,0.17,0.00653314421458239,0,"Single"
507,"Polyamine Metabolism","spermine",0.999584155913027,1,0.197789285107835,0.02,0.0175762292667229,0.03,"Parallel"
512,"Methionine, Cysteine, SAM and Taurine Metabolism","taurine",0.526571746119639,0.54,0.199967472717066,0.07,0.157648411682788,0,"Single"
519,"Long Chain Saturated Fatty Acid","myristate (14:0)",0.912367459312515,1,0.619466553770412,0.79,0.376521228162777,0.16,"None"
