"sub_pathway","chem_name","interaction_pval","interaction_fisher","parallel_pval","parallel_fisher","single_pval","single_fisher","model"
"Mevalonate Metabolism","mevalonate",0.185134765661329,0.04,0.0344279838923222,0.05,0.96981637506309,0.95,"Interaction"
"Glutamate Metabolism","S-1-pyrroline-5-carboxylate",0.356136116494923,0,0.000875974015804509,0,0.18351502427803,0.12,"Interaction"
"Polyamine Metabolism","putrescine",0.304464661061639,0,0.174968454794337,0,0.93285385110385,0.07,"Interaction"
"Polyamine Metabolism","spermidine",0.0605244300788615,0,0.0086367310242425,0,0.0353004627224944,0.07,"Interaction"
"Nicotinate and Nicotinamide Metabolism","1-methylnicotinamide",0.0364756189243875,0.01,0.074959190863688,0,0.682161249003378,0.1,"Interaction"
"Fatty Acid, Dihydroxy","12,13-DiHOME",0.0980639406216365,0,0.984984785269978,0.17,0.0404235288904344,0.07,"Interaction"
"Tryptophan Metabolism","5-hydroxyindoleacetate",0.63720784023137,0,0.288782792058176,0,0.212390736688794,0.11,"Interaction"
"Lysine Metabolism","2-oxoadipate",0.0342373854731617,0,0.0409454000649522,0,0.799541967356869,0.12,"Interaction"
"TCA Cycle","alpha-ketoglutarate",0.0847771378888702,0,0.223668969317003,0,0.63293820719136,0.09,"Interaction"
"Tryptophan Metabolism","kynurenate",0.160472926806652,0,0.0260164751077006,0,0.928370816091681,0.11,"Interaction"
"Leucine, Isoleucine and Valine Metabolism","3-hydroxyisobutyrate",0.0653666954745107,0,0.107594122068848,0,0.747558092184805,0.79,"Interaction"
"Mevalonate Metabolism","3-hydroxy-3-methylglutarate",0.0314496851354692,0.04,0.237681855759397,0.05,0.712926457400257,0.95,"Interaction"
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","3-phosphoglycerate",0.214371889449646,0,0.00105920180456157,0,0.100242745069423,0.15,"Interaction"
"Primary Bile Acid Metabolism","cholate",0.0439702985154742,0,0.567992969831765,0.74,0.493595318455103,0.01,"Interaction"
"Phenylalanine Metabolism","4-hydroxyphenylacetate",0.458798294967293,0.02,0.254225075927108,0.03,0.674446352303577,0.01,"Interaction"
"Purine Metabolism, (Hypo)Xanthine/Inosine containing","hypoxanthine",0.000100423212644509,0,0.0805501907179776,0,0.0237827732911311,0.02,"Interaction"
"Fatty Acid, Dihydroxy","9,10-DiHOME",0.0707129283698214,0,0.910385963755178,0.17,0.0432683820553119,0.07,"Interaction"
"Long Chain Polyunsaturated Fatty Acid (n3 and n6)","linoleate (18:2n6)",0.0197776651654455,0,0.707920063985671,0.97,0.00598790468380985,0,"Interaction"
"Medium Chain Fatty Acid","laurate (12:0)",0.00364634019060876,0,0.183878080781195,0.69,0.0135920290425883,0,"Interaction"
"Nicotinate and Nicotinamide Metabolism","quinolinate",0.473347595219709,0.01,0.160898547837483,0,0.249209484795734,0.1,"Interaction"
"Lysine Metabolism","N6,N6,N6-trimethyllysine",0.149128381252235,0,0.0211782908025965,0,0.0412048091135506,0.12,"Interaction"
"Polyamine Metabolism","N-acetylputrescine",0.0417295163849449,0,0.0285223426172915,0,0.449873813084446,0.07,"Interaction"
"Methionine, Cysteine, SAM and Taurine Metabolism","N-formylmethionine",0.36378280764548,0,0.0420019926254277,0,0.593692367330179,0.63,"Interaction"
