"CHEM_ID","sub_pathway","chem_name","interaction_pval","interaction_fisher","parallel_pval","parallel_fisher","single_pval","single_fisher","model"
30,"Mevalonate Metabolism","mevalonate",0.185134765661329,0.04,0.0344279838923226,0.05,0.969816375063091,0.95,"Interaction"
35,"Glutamate Metabolism","S-1-pyrroline-5-carboxylate",0.356136116494924,0,0.000875974015804512,0,0.183515024278029,0.14,"Interaction"
49,"Polyamine Metabolism","putrescine",0.181470418167928,0,0.334079777033046,0,0.977390861543478,0.07,"Interaction"
50,"Polyamine Metabolism","spermidine",0.0605244300788623,0,0.00863673102424259,0,0.0353004627224939,0.07,"Interaction"
55,"Nicotinate and Nicotinamide Metabolism","1-methylnicotinamide",0.0364756189243875,0,0.0749591908636873,0,0.682161249003376,0.12,"Interaction"
62,"Fatty Acid, Dihydroxy","12,13-DiHOME",0.0980639406216363,0,0.984984785269977,0.17,0.0404235288904346,0.07,"Interaction"
71,"Tryptophan Metabolism","5-hydroxyindoleacetate",0.150812581966079,0,0.150430588989976,0,0.432500000431291,0.12,"Interaction"
92,"Lysine Metabolism","2-oxoadipate",0.0342373854731619,0,0.0409454000649522,0,0.799541967356869,0.11,"Interaction"
93,"TCA Cycle","alpha-ketoglutarate",0.084777137888871,0,0.223668969317003,0,0.63293820719136,0.09,"Interaction"
98,"Tryptophan Metabolism","kynurenate",0.160472926806652,0,0.0260164751077008,0,0.928370816091681,0.12,"Interaction"
104,"Purine Metabolism, Guanine containing","guanosine-3',5'-cyclic monophosphate (cGMP)",0.90034750888445,0,0.0639075867410526,0.07,0.513702600640847,0.29,"Interaction"
111,"Leucine, Isoleucine and Valine Metabolism","3-hydroxyisobutyrate",0.0653666954745104,0,0.107594122068849,0,0.747558092184805,0.89,"Interaction"
112,"Mevalonate Metabolism","3-hydroxy-3-methylglutarate",0.031449685135469,0.04,0.237681855759396,0.05,0.712926457400257,0.95,"Interaction"
132,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","3-phosphoglycerate",0.214371889449647,0,0.00105920180456155,0,0.100242745069423,0.1,"Interaction"
